"","COUNTRY","YEAR","UNEMP","INCOME","BEER","OTHER","SPIRITS","WINE","MORTALITY"
"194","Germany","2008",7.4,23275,6.35,0,2.16,3.24,35.5122494932996
"195","Estonia","2008",5.5,12099,5.05,1.83,8.2,1.3,86.0389988551641
"196","Ireland","2008",6.8,20870,6.18,0.93,2.45,2.86,43.195693300125
"197","Greece","2008",7.8,19517,2.4,0.17,2.22,4.72,24.8226419911295
"198","Spain","2008",11.3,18654,4.92,0,2.88,2.44,42.9800799905635
"199","France","2008",7.4,22206,2.2,0.3,2.8,7,46.2614983051538
"200","Croatia","2008",8.6,11278,5.03,0.42,1.25,5.62,62.1345907419404
"201","Italy","2008",6.7,21812,1.47,0,0.72,4.65,25.1247661621575
"202","Cyprus","2008",3.7,20562,3.9,0,5.17,2.97,12.7220823947512
"203","Latvia","2008",7.7,11611,4.12,0.79,5.8,1.13,72.5023951023637
"204","Lithuania","2008",5.8,12699,5.4,1.5,5.5,0.9,108.22828118283
"205","Luxembourg","2008",4.9,31085,4.28,0,2.48,4.97,52.9684475004757
"206","Hungary","2008",7.8,11397,4.28,0,4.11,3.25,99.9222945702143
"207","Netherlands","2008",3.7,24202,4.74,0,1.58,3.28,18.0084634285674
"208","Austria","2008",4.1,24381,6.4,0,1.7,3.9,35.2096995436041
"209","Poland","2008",7.1,11005,6.1,0,4.1,1.2,51.6791864065313
"210","Portugal","2008",8.8,16770,3.55,0.5,1.01,7.29,68.3432502202983
"211","Romania","2008",5.6,8553,5.5,0,2.9,3.5,123.410366845948
"212","Slovenia","2008",4.4,16458,5.16,0,1.2,4.58,25.4648597543501
"213","Slovakia","2008",9.6,12846,3.81,0,5.59,2.02,43.9226892264432
"214","Finland","2008",6.4,20783,4.62,1.28,2.69,1.67,37.3662666760268
"215","Sweden","2008",6.2,21815,2.6,0.1,1.1,3.1,19.3222396385913
"216","United Kingdom","2008",5.6,22246,4.22,0.83,2.28,3.44,18.0791379974514
"217","Belgium","2009",7.9,21881,4.94,0.05,1.45,3.66,33.2344917840966
"218","Bulgaria","2009",6.8,7468,4.03,0.07,4.84,2.02,39.017402072369
"219","Czechia","2009",6.7,14538,7,0,3.86,2.45,54.2843439284922
"220","Denmark","2009",6.4,19840,4.13,0.05,1.52,4.38,48.2470858251131
"221","Germany","2009",7.6,22896,6.34,0,2.15,3.11,34.7340727887507
"222","Estonia","2009",13.5,11373,4.69,1.37,7.2,1.06,85.0471091030814
"223","Ireland","2009",12.6,19495,5.76,0.87,1.99,2.65,42.1849430354348
"224","Greece","2009",9.6,19263,2.27,0.16,2.18,4.46,24.4046285721622
"225","Spain","2009",17.9,18051,4.98,0,2.73,2.28,40.6981839561338
"226","France","2009",9.1,21889,2.2,0.3,2.7,7.1,45.0763650754211
"227","Croatia","2009",9.3,11177,4.76,0.42,1.24,5.66,56.3676729683453
"228","Italy","2009",7.7,20847,1.4,0,0.7,4.3,23.2922531248898
"229","Cyprus","2009",5.4,19652,3.69,0,4.52,2.6,12.5732262453574
"230","Latvia","2009",17.5,9901,4.35,0.53,3.94,1.03,71.6508107512767
"231","Lithuania","2009",13.8,11849,5.4,1.5,4.6,0.9,96.8964692148689
"232","Luxembourg","2009",5.1,30321,4.27,0,2.43,4.91,52.3116020901434
"233","Hungary","2009",10,11284,4.26,0,3.99,3.21,94.6155615597427
"234","Netherlands","2009",4.4,23547,4.37,0,1.58,3.28,17.8070383086286
"235","Austria","2009",5.3,23870,6.2,0,1.7,3.4,35.8668877474498
"236","Poland","2009",8.1,11339,5.9,0,3.8,1,50.3045802790166
"237","Portugal","2009",10.7,16533,3.41,0.47,0.94,7.21,65.8585418339223
"238","Romania","2009",6.5,8014,4.9,0,2.4,3.1,123.581178309616
"239","Slovenia","2009",5.9,15515,5.09,0,0.88,4.55,23.0865628665199
"240","Slovakia","2009",12.1,12875,3.92,0,4.63,2.14,41.0404953603344
"241","Finland","2009",8.2,20676,4.54,1.25,2.49,1.68,36.0915428137929
"242","Sweden","2009",8.3,21381,2.7,0.1,1.2,3.3,18.4162398603009
"243","United Kingdom","2009",7.6,21613,3.84,0.92,2.16,3.23,17.7954001843554
"244","Belgium","2010",8.3,22370,5.03,0.05,1.48,3.72,32.9072200851242
"245","Bulgaria","2010",10.3,7880,4.01,0.07,5.02,1.73,37.9955576973206
"246","Czechia","2010",7.3,14810,6.79,0,3.28,2.58,52.5402299873704
"247","Denmark","2010",7.7,21038,3.9,0,1.46,4.88,45.6230223484297
"248","Germany","2010",7,23866,5.91,0,2.15,3.29,33.9799128949305
"249","Estonia","2010",16.7,11552,4.9,1.43,7.53,1.11,79.9890283398467
"250","Ireland","2010",14.6,19674,5.47,0.81,2.09,3.26,37.3961142312951
"251","Greece","2010",12.7,17366,2.24,0.13,1.84,4.78,23.1383833294689
"252","Spain","2010",19.9,17798,4.87,0,2.76,2.15,39.0665338954269
"253","France","2010",9.3,22673,2.18,0.23,2.65,7.27,43.3850988751144
"254","Croatia","2010",11.8,11368,4.5,0.43,1.2,5.99,52.3347782000263
"255","Italy","2010",8.4,21427,1.66,0,0.84,4.45,21.9106829042069
"256","Cyprus","2010",6.3,19100,3.78,0,4.86,2.67,12.4582934645054
"257","Latvia","2010",19.5,10167,4.61,0.53,3.64,1.05,72.4698864572813
"258","Lithuania","2010",17.8,12614,5.93,1.65,5.05,0.99,95.6764636329303
"259","Luxembourg","2010",4.6,29509,4.05,0,2.4,5.28,51.1280532845104
"260","Hungary","2010",11.2,11820,3.91,0,3.68,3.16,88.8258189899073
"261","Netherlands","2010",5,23177,4.36,0,1.57,3.39,17.8188136905635
"262","Austria","2010",4.8,24235,6.1,0,1.7,4.3,35.1743803683915
"263","Poland","2010",9.7,12406,5.3,0,3.76,0.97,49.0319617779447
"264","Portugal","2010",12,16743,3.36,0.47,0.93,7.47,63.4792751107203
"265","Romania","2010",7,9042,4.5,0,1.9,2.6,121.870809824029
"266","Slovenia","2010",7.3,15857,4.59,0,0.89,4.85,21.885064194459
"267","Slovakia","2010",14.5,14041,3.44,0.36,4.62,2.13,40.1558425842249
"268","Finland","2010",8.4,21477,4.47,1.22,2.33,1.7,35.0360656382146
"269","Sweden","2010",8.6,21579,2.67,0.13,1.11,3.4,17.5615687581659
"270","United Kingdom","2010",7.8,21955,3.76,0.91,2.25,3.3,17.6352489810669
"271","Belgium","2011",7.2,22869,4.89,0.05,1.49,3.71,33.163176164421
"272","Bulgaria","2011",11.3,8678,4.1,0.07,5.16,1.72,37.9023012743685
"273","Czechia","2011",6.7,14831,6.79,0,3.25,2.58,50.6755384173634
"274","Denmark","2011",7.8,21438,3.77,0,1.46,4.99,42.2959876133268
"275","Germany","2011",5.8,24874,5.98,0,2.43,3.46,33.1126084177871
"276","Estonia","2011",12.3,12303,5.32,1.57,8.18,1.2,80.6835869953274
"277","Ireland","2011",15.4,18762,5.48,0.82,2.1,3.26,37.0059347259378
"278","Greece","2011",17.9,15981,2.1,0.1,1.62,4.21,23.1771405592359
"279","Spain","2011",21.4,17805,4.4,0,2.42,2.2,38.0529064612032
"280","France","2011",9.2,23054,2.1,0.22,2.64,7.41,41.7709924282838
"281","Croatia","2011",13.7,11719,4.74,0.43,1.21,6.05,50.4130874126225
"282","Italy","2011",8.4,21513,1.69,0,0.84,4.45,21.6000143926175
"283","Cyprus","2011",7.9,18828,3.53,0,4.61,2.56,12.1349939678275
"284","Latvia","2011",16.2,9962,4.86,0.55,3.57,1.13,69.983672915583
"285","Lithuania","2011",15.4,13416,6.48,1.8,5.52,1.08,92.7803872065641
"286","Luxembourg","2011",4.8,29777,4.04,0,2.54,5.44,49.8386688391697
"287","Hungary","2011",11,12647,4.04,0,3.82,3.49,83.8145247212472
"288","Netherlands","2011",5,23413,4.35,0,1.45,3.38,17.9155815607958
"289","Austria","2011",4.6,24595,6.1,0,1.7,4.1,34.0794730688004
"290","Poland","2011",9.7,12981,5.54,0,3.76,0.9,48.6627578364464
"291","Portugal","2011",12.9,16201,3.12,0.45,0.92,7.43,60.7610227145683
"292","Romania","2011",7.2,8893,4.7,0,1.4,2.8,113.241905337684
"293","Slovenia","2011",8.2,16258,4.94,0,0.86,4.81,20.9876156231368
"294","Slovakia","2011",13.7,14016,3.55,0.47,4.5,2.25,39.9947334117167
"295","Finland","2011",7.8,22071,4.61,1.21,2.25,1.74,33.7407181856339
"296","Sweden","2011",7.8,22380,2.7,0.12,1.05,3.47,17.4372123549153
"297","United Kingdom","2011",8.1,21898,3.65,0.9,2.17,3.3,17.3655365431668
"298","Belgium","2012",7.6,23588,4.78,0.05,1.54,3.72,33.2918423415803
