"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Republic of Moldova"," Data source"," Spirits","2.35","2.43","2.47","2.77","2.82","3.04","3.09"
"Republic of Moldova"," Data source"," Other alcoholic beverages","0.19","0.19","0.21","0.22","0.21","0.21","0.22"
"Romania"," Data source"," All types","","10.40","10.46","10.59","10.55","10.40","10.79"
"Romania"," Data source"," Beer","","5.78","4.90","5.10","5.00","4.70","4.50"
"Romania"," Data source"," Wine","","2.92","3.20","3.10","2.80","2.80","2.60"
"Romania"," Data source"," Spirits","","1.70","1.40","1.40","1.10","1.40","1.90"
"Romania"," Data source"," Other alcoholic beverages","","0","0","0","0","0","0"
"Russian Federation"," Data source"," All types","8.42","8.41","8.85","9.92","10.89","10.95","10.98"
"Russian Federation"," Data source"," Beer","3.29","3.49","3.64","3.96","4.17","4.13","4.09"
"Russian Federation"," Data source"," Wine","1.08","0.87","0.89","0.84","0.93","0.96","1.02"
"Russian Federation"," Data source"," Spirits","3.25","3.36","3.60","4.36","4.95","5.04","5.06"
"Russian Federation"," Data source"," Other alcoholic beverages","0.80","0.69","0.72","0.76","0.84","0.82","0.81"
"Serbia"," Data source"," All types","9.17","9.13","8.77","9.06","9.05","8.96","9.09"
"Serbia"," Data source"," Beer","2.94","2.95","2.61","2.90","3.15","2.93","2.85"
"Serbia"," Data source"," Wine","3.89","3.89","3.88","3.90","3.61","3.75","3.95"
"Serbia"," Data source"," Spirits","2.32","2.28","2.26","2.24","2.27","2.27","2.27"
"Serbia"," Data source"," Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Slovakia"," Data source"," All types","10.14","10.78","10.89","10.54","10.66","10.78","10.55"
"Slovakia"," Data source"," Beer","3.42","3.44","3.32","3.43","3.67","3.55","3.44"
"Slovakia"," Data source"," Wine","2.12","2.61","2.84","2.37","2.13","2.25","2.13"
"Slovakia"," Data source"," Spirits","4.24","4.27","4.14","4.14","4.38","4.50","4.62"
"Slovakia"," Data source"," Other alcoholic beverages","0.35","0.47","0.59","0.59","0.47","0.47","0.36"
"Slovenia"," Data source"," All types","10.51","11.49","10.92","9.53","10.95","10.61","10.31"
"Slovenia"," Data source"," Beer","4.35","5.73","5.37","4.55","4.58","4.94","4.59"
"Slovenia"," Data source"," Wine","5.32","4.90","4.73","4.09","5.50","4.81","4.85"
"Slovenia"," Data source"," Spirits","0.84","0.86","0.82","0.89","0.87","0.86","0.89"
"Slovenia"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0"
"Spain"," Data source"," All types","8.58","8.26","8.70","8.77","8.83","9.01","9.78"
"Spain"," Data source"," Beer","4.64","4.51","4.35","4.42","4.41","4.40","4.87"
"Spain"," Data source"," Wine","1.55","1.55","2.16","2.15","2.21","2.20","2.15"
"Spain"," Data source"," Spirits","2.39","2.21","2.19","2.20","2.20","2.42","2.76"
