"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Montenegro"," Data source"," Beer","0.70","0.71","0.48","0.02","","","","","",""
"Montenegro"," Data source"," Wine","4.02","3.66","2.47","3.57","","","","","",""
"Montenegro"," Data source"," Spirits","2.37","2.35","2.31","2.25","","","","","",""
"Montenegro"," Data source"," Other alcoholic beverages","0.17","0.22","0.21","0.20","","","","","",""
"Netherlands"," Data source"," All types","9.22","9.61","9.51","9.78","9.67","9.56","9.56","9.68","9.95","10.06"
"Netherlands"," Data source"," Beer","4.37","4.74","4.76","4.77","4.77","4.80","4.81","4.83","4.87","4.99"
"Netherlands"," Data source"," Wine","3.28","3.28","3.17","3.42","3.30","3.10","2.94","2.84","2.98","3.01"
"Netherlands"," Data source"," Spirits","1.58","1.58","1.59","1.59","1.59","1.66","1.81","2.01","2.10","2.06"
"Netherlands"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Norway"," Data source"," All types","6.68","6.75","6.60","6.47","6.37","6.22","6.04","5.89","5.49","5.67"
"Norway"," Data source"," Beer","2.96","3.06","3.02","3.01","2.98","2.96","2.76","2.89","2.82","2.93"
"Norway"," Data source"," Wine","2.28","2.23","2.11","2.05","2.00","1.90","1.84","1.81","1.60","1.62"
"Norway"," Data source"," Spirits","1.31","1.33","1.35","1.30","1.28","1.25","1.22","1.12","1.00","1.05"
"Norway"," Data source"," Other alcoholic beverages","0.13","0.13","0.12","0.11","0.11","0.11","0.22","0.07","0.07","0.07"
"Poland"," Data source"," All types","10.70","11.40","10.90","10.40","9.50","9.19","9.06","8.02","7.74","8.40"
"Poland"," Data source"," Beer","5.90","6.10","6.10","5.90","5.30","4.66","4.51","4.31","4.08","4.14"
"Poland"," Data source"," Wine","1.00","1.20","1.30","1.30","1.20","1.53","1.64","1.64","1.56","1.78"
"Poland"," Data source"," Spirits","3.80","4.10","3.50","3.20","3.00","3.01","2.90","2.07","2.09","2.48"
"Poland"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Portugal"," Data source"," All types","12.03","12.35","12.59","13.12","13.34","13.47","14.21","13.23","13.41","13.08"
"Portugal"," Data source"," Beer","3.41","3.55","3.71","3.78","3.76","3.70","3.57","3.58","3.65","3.75"
"Portugal"," Data source"," Wine","7.21","7.29","7.31","7.78","7.97","8.05","8.74","7.71","7.83","7.74"
"Portugal"," Data source"," Spirits","0.94","1.01","1.06","1.08","1.12","1.23","1.57","1.59","1.60","1.57"
"Portugal"," Data source"," Other alcoholic beverages","0.47","0.50","0.51","0.49","0.48","0.48","0.33","0.35","0.33","0.02"
"Republic of Moldova"," Data source"," All types","7.77","8.35","8.94","7.72","10.16","11.77","7.76","6.44","10.78","9.77"
"Republic of Moldova"," Data source"," Beer","1.60","1.96","1.92","1.68","1.45","1.27","1.00","0.82","0.62","0.47"
"Republic of Moldova"," Data source"," Wine","2.74","2.75","3.05","1.90","4.12","6.10","2.86","1.99","6.66","5.80"
"Republic of Moldova"," Data source"," Spirits","3.19","3.36","3.57","3.48","3.90","3.71","3.89","3.64","3.51","3.50"
"Republic of Moldova"," Data source"," Other alcoholic beverages","0.24","0.29","0.40","0.67","0.69","0.68","0","0","0","0"
